,date,crop_type,soil_type,soil_ph,temperature,humidity,wind_speed,n,p,k,crop_yield,soil_quality,year,state,avg_rainfall_mm
,28-01-2014,Barley,Loamy,6.5,23.09401013,76.90598987,12.35740048,70,60,50,64.79829393,60,2014,Tamil Nadu,746.7
,29-01-2014,Barley,Clay,6.25,20.86119623,79.13880377,8.260897266,60,50,40,64.95702039,43.75,2014,Tamil Nadu,746.7
,30-01-2014,Barley,Loamy,6.5,8.184801707,80,14.42962105,70,60,50,0,60,2014,Tamil Nadu,746.7
,31-01-2014,Barley,Peaty,5.5,14.55238695,80,13.28435113,55,45,35,24.18659253,22.5,2014,Tamil Nadu,746.7
,01-02-2014,Barley,Sandy,6.75,15.33749268,80,13.3165778,50,40,30,34.03509465,35,2014,Tamil Nadu,746.7
,02-02-2014,Barley,Clay,6.25,15.29200736,80,8.637267175,60,50,40,37.63038493,43.75,2014,Tamil Nadu,746.7
,03-02-2014,Barley,Clay,6.25,16.59890967,80,7.532135754,60,50,40,46.31036531,43.75,2014,Tamil Nadu,746.7
,04-02-2014,Barley,Clay,6.25,27.89854669,72.10145331,12.00094121,60,50,40,12.16376913,43.75,2014,Tamil Nadu,746.7
,05-02-2014,Barley,Peaty,5.5,23.63416921,76.36583079,13.93363069,55,45,35,36.76254175,22.5,2014,Tamil Nadu,746.7
,06-02-2014,Barley,Clay,6.25,20.83151374,79.16848626,10.80217694,60,50,40,67.4269705,43.75,2014,Tamil Nadu,746.7
,07-02-2014,Barley,Peaty,5.5,12.19772451,80,14.56351641,55,45,35,13.46781234,22.5,2014,Tamil Nadu,746.7
,08-02-2014,Barley,Saline,8,17.6650704,80,7.37553886,65,55,45,34.18923629,13.75,2014,Tamil Nadu,746.7
,09-02-2014,Barley,Sandy,6.75,12.48768757,80,7.415848893,50,40,30,12.93133998,35,2014,Tamil Nadu,746.7
,10-02-2014,Barley,Saline,8,16.57026484,80,12.43806828,65,55,45,40.13606145,13.75,2014,Tamil Nadu,746.7
,11-02-2014,Barley,Loamy,6.5,17.37642795,80,15.18089155,70,60,50,63.73475274,60,2014,Tamil Nadu,746.7
,12-02-2014,Barley,Peaty,5.5,14.92090145,80,13.59592412,55,45,35,21.42474055,22.5,2014,Tamil Nadu,746.7
,13-02-2014,Barley,Loamy,6.5,9.523491925,80,12.21053169,70,60,50,0,60,2014,Tamil Nadu,746.7
,14-02-2014,Barley,Peaty,5.5,9.82813586,80,10.06238112,55,45,35,0,22.5,2014,Tamil Nadu,746.7
,15-02-2014,Barley,Peaty,5.5,15.58860609,80,6.313598744,55,45,35,30.8205043,22.5,2014,Tamil Nadu,746.7
,16-02-2014,Barley,Loamy,6.5,10.80087376,80,10.20933764,70,60,50,7.958937323,60,2014,Tamil Nadu,746.7
,17-02-2014,Barley,Peaty,5.5,7.859845834,80,7.144448576,55,45,35,0,22.5,2014,Tamil Nadu,746.7
,18-02-2014,Barley,Sandy,6.75,14.15589138,80,8.325671927,50,40,30,19.68019137,35,2014,Tamil Nadu,746.7
,19-02-2014,Barley,Clay,6.25,13.92250899,80,8.681233867,60,50,40,21.77768154,43.75,2014,Tamil Nadu,746.7
,20-02-2014,Barley,Clay,6.25,19.48419658,80,13.22911599,60,50,40,71.57771285,43.75,2014,Tamil Nadu,746.7
,21-02-2014,Barley,Peaty,5.5,13.32302139,80,6.419089505,55,45,35,19.59367473,22.5,2014,Tamil Nadu,746.7
,22-02-2014,Barley,Loamy,6.5,14.21351287,80,6.705563566,70,60,50,36.5495688,60,2014,Tamil Nadu,746.7
,23-02-2014,Barley,Sandy,6.75,20.30321465,79.69678535,9.430592441,50,40,30,63.23120423,35,2014,Tamil Nadu,746.7
,24-02-2014,Barley,Loamy,6.5,11.02786973,80,11.78067017,70,60,50,6.530724762,60,2014,Tamil Nadu,746.7
,25-02-2014,Barley,Clay,6.25,13.90278094,80,11.97773701,60,50,40,30.41444495,43.75,2014,Tamil Nadu,746.7
,26-02-2014,Barley,Sandy,6.75,19.67940778,80,8.121429903,50,40,30,55.25747423,35,2014,Tamil Nadu,746.7
,27-02-2014,Barley,Clay,6.25,20.55859284,79.44140716,13.81209876,60,50,40,71.51352589,43.75,2014,Tamil Nadu,746.7
,28-02-2014,Barley,Saline,8,17.21806961,80,11.61418516,65,55,45,41.51060829,13.75,2014,Tamil Nadu,746.7
,01-03-2014,Barley,Clay,6.25,33.30735083,66.69264917,10.45485648,60,50,40,0,43.75,2014,Tamil Nadu,746.7
,02-03-2014,Barley,Saline,8,17.21618327,80,12.86101503,65,55,45,41.48690795,13.75,2014,Tamil Nadu,746.7
,03-03-2014,Barley,Loamy,6.5,21.76229097,78.23770903,9.978399863,70,60,50,78.69917706,60,2014,Tamil Nadu,746.7
,04-03-2014,Barley,Peaty,5.5,19.84992712,80,5.856670732,55,45,35,60.55715907,22.5,2014,Tamil Nadu,746.7
,05-03-2014,Barley,Saline,8,32.11184931,67.88815069,8.939513661,65,55,45,0,13.75,2014,Tamil Nadu,746.7
,06-03-2014,Barley,Sandy,6.75,25.43984411,74.56015589,9.451295029,50,40,30,20.7625425,35,2014,Tamil Nadu,746.7
,07-03-2014,Barley,Saline,8,24.31322913,75.68677087,8.112209819,65,55,45,37.87803255,13.75,2014,Tamil Nadu,746.7
,08-03-2014,Barley,Loamy,6.5,19.66639446,80,8.359959746,70,60,50,84.6342172,60,2014,Tamil Nadu,746.7
,09-03-2014,Barley,Saline,8,23.38587768,76.61412232,9.605582213,65,55,45,41.35177213,13.75,2014,Tamil Nadu,746.7
,10-03-2014,Barley,Loamy,6.5,23.9534309,76.0465691,4.846617713,70,60,50,55.96935202,60,2014,Tamil Nadu,746.7
,11-03-2014,Barley,Saline,8,26.76715433,73.23284567,13.14690983,65,55,45,17.37881539,13.75,2014,Tamil Nadu,746.7
,12-03-2014,Barley,Loamy,6.5,23.31235857,76.68764143,5.867147498,70,60,50,56.78946744,60,2014,Tamil Nadu,746.7
,13-03-2014,Barley,Saline,8,29.10379652,70.89620348,11.08432611,65,55,45,5.057913773,13.75,2014,Tamil Nadu,746.7
,14-03-2014,Barley,Sandy,6.75,32.56504633,67.43495367,5.018551997,50,40,30,0,35,2014,Tamil Nadu,746.7
,15-03-2014,Barley,Sandy,6.75,29.27262614,70.72737386,10.29493058,50,40,30,3.889183592,35,2014,Tamil Nadu,746.7
,16-03-2014,Barley,Saline,8,28.19225468,71.80774532,13.64439117,65,55,45,9.398086426,13.75,2014,Tamil Nadu,746.7
,17-03-2014,Barley,Loamy,6.5,25.76720488,74.23279512,13.03438911,70,60,50,42.76356295,60,2014,Tamil Nadu,746.7
,18-03-2014,Barley,Sandy,6.75,20.9784212,79.0215788,10.75949571,50,40,30,55.6414541,35,2014,Tamil Nadu,746.7
,19-03-2014,Barley,Peaty,5.5,19.36954046,80,9.713607259,55,45,35,41.60850805,22.5,2014,Tamil Nadu,746.7
,20-03-2014,Barley,Loamy,6.5,23.90124752,76.09875248,11.32595802,70,60,50,52.52643927,60,2014,Tamil Nadu,746.7
,21-03-2014,Barley,Saline,8,26.91494492,73.08505508,6.345676085,65,55,45,18.49586365,13.75,2014,Tamil Nadu,746.7
,22-03-2014,Barley,Loamy,6.5,22.99417897,77.00582103,14.73435417,70,60,50,69.26588497,60,2014,Tamil Nadu,746.7
,23-03-2014,Barley,Peaty,5.5,23.81722356,76.18277644,7.583183805,55,45,35,36.76621202,22.5,2014,Tamil Nadu,746.7
,24-03-2014,Barley,Clay,6.25,27.3867532,72.6132468,12.03291907,60,50,40,19.45187691,43.75,2014,Tamil Nadu,746.7
,25-03-2014,Barley,Saline,8,17.84358806,80,6.719328562,65,55,45,41.57119751,13.75,2014,Tamil Nadu,746.7
,26-03-2014,Barley,Sandy,6.75,25.09200815,74.90799185,12.68214879,50,40,30,26.55336248,35,2014,Tamil Nadu,746.7
,27-03-2014,Barley,Loamy,6.5,29.2777783,70.7222217,9.465341559,70,60,50,5.293072611,60,2014,Tamil Nadu,746.7
,28-03-2014,Barley,Peaty,5.5,27.05513327,72.94486673,13.6307305,55,45,35,15.05045434,22.5,2014,Tamil Nadu,746.7
,29-03-2014,Barley,Loamy,6.5,23.16634226,76.83365774,5.599644428,70,60,50,58.41915007,60,2014,Tamil Nadu,746.7
,30-03-2014,Barley,Sandy,6.75,19.10979566,80,6.981191937,50,40,30,50.1397108,35,2014,Tamil Nadu,746.7
,31-03-2014,Barley,Saline,8,30.18323415,69.81676585,10.3338303,65,55,45,0,13.75,2014,Tamil Nadu,746.7
,01-04-2014,Barley,Saline,8,19.56463812,80,5.833275487,65,55,45,51.94868456,13.75,2014,Tamil Nadu,746.7
,02-04-2014,Barley,Saline,8,19.70739975,80,7.44009008,65,55,45,56.53833896,13.75,2014,Tamil Nadu,746.7
,03-04-2014,Barley,Peaty,5.5,25.10971904,74.89028096,6.54000279,55,45,35,21.91954616,22.5,2014,Tamil Nadu,746.7
,04-04-2014,Barley,Peaty,5.5,32.44556554,67.55443446,8.129271726,55,45,35,0,22.5,2014,Tamil Nadu,746.7
,05-04-2014,Barley,Loamy,6.5,31.73112878,68.26887122,10.15535155,70,60,50,0,60,2014,Tamil Nadu,746.7
,06-04-2014,Barley,Sandy,6.75,16.33308069,80,5.087185248,50,40,30,36.53029966,35,2014,Tamil Nadu,746.7
,07-04-2014,Barley,Loamy,6.5,24.69498014,75.30501986,13.6624639,70,60,50,43.55900664,60,2014,Tamil Nadu,746.7
,08-04-2014,Barley,Peaty,5.5,21.87950644,78.12049356,6.872615149,55,45,35,49.22860801,22.5,2014,Tamil Nadu,746.7
,09-04-2014,Barley,Sandy,6.75,29.19381072,70.80618928,6.189816734,50,40,30,4.462813204,35,2014,Tamil Nadu,746.7
,10-04-2014,Barley,Saline,8,16.53659192,80,9.462720145,65,55,45,39.24299125,13.75,2014,Tamil Nadu,746.7
,11-04-2014,Barley,Loamy,6.5,14.56761171,80,6.86093538,70,60,50,41.22814226,60,2014,Tamil Nadu,746.7
,12-04-2014,Barley,Loamy,6.5,32.26308373,67.73691627,12.87615828,70,60,50,0,60,2014,Tamil Nadu,746.7
,13-04-2014,Barley,Clay,6.25,39.42116138,60.57883862,10.44825842,60,50,40,0,43.75,2014,Tamil Nadu,746.7
,14-04-2014,Barley,Peaty,5.5,25.55016545,74.44983455,5.982514793,55,45,35,24.23387341,22.5,2014,Tamil Nadu,746.7
,15-04-2014,Barley,Loamy,6.5,25.79731253,74.20268747,7.197556861,70,60,50,39.71964489,60,2014,Tamil Nadu,746.7
,16-04-2014,Barley,Clay,6.25,23.44846147,76.55153853,10.21709053,60,50,40,47.68119416,43.75,2014,Tamil Nadu,746.7
,17-04-2014,Barley,Saline,8,22.85468062,77.14531938,6.127847441,65,55,45,43.03589968,13.75,2014,Tamil Nadu,746.7
,18-04-2014,Barley,Loamy,6.5,23.71895214,76.28104786,10.68892425,70,60,50,51.31770255,60,2014,Tamil Nadu,746.7
,19-04-2014,Barley,Loamy,6.5,24.27856029,75.72143971,6.52945201,70,60,50,56.25010434,60,2014,Tamil Nadu,746.7
,20-04-2014,Barley,Clay,6.25,37.50822518,62.49177482,10.72864604,60,50,40,0,43.75,2014,Tamil Nadu,746.7
,21-04-2014,Barley,Sandy,6.75,21.05692651,78.94307349,8.557498631,50,40,30,54.52427137,35,2014,Tamil Nadu,746.7
,22-04-2014,Barley,Clay,6.25,26.99824553,73.00175447,14.11013098,60,50,40,17.41839678,43.75,2014,Tamil Nadu,746.7
,23-04-2014,Barley,Peaty,5.5,25.32675298,74.67324702,2.331046398,55,45,35,25.48096773,22.5,2014,Tamil Nadu,746.7
,24-04-2014,Barley,Loamy,6.5,19.80096734,80,10.35879603,70,60,50,82.6037211,60,2014,Tamil Nadu,746.7
,25-04-2014,Barley,Peaty,5.5,21.98054942,78.01945058,12.95912952,55,45,35,40.2218307,22.5,2014,Tamil Nadu,746.7
,26-04-2014,Barley,Loamy,6.5,26.68496455,73.31503545,11.48219176,70,60,50,20.83950488,60,2014,Tamil Nadu,746.7
,27-04-2014,Barley,Clay,6.25,22.65197672,77.34802328,12.91627246,60,50,40,59.17874812,43.75,2014,Tamil Nadu,746.7
,28-04-2014,Barley,Clay,6.25,26.01617977,73.98382023,10.43524195,60,50,40,26.15831933,43.75,2014,Tamil Nadu,746.7
,29-04-2014,Barley,Peaty,5.5,24.46367617,75.53632383,10.6713621,55,45,35,29.30430731,22.5,2014,Tamil Nadu,746.7
,30-04-2014,Barley,Peaty,5.5,28.97927815,71.02072185,9.998331113,55,45,35,4.922939582,22.5,2014,Tamil Nadu,746.7
,01-05-2014,Barley,Saline,8,26.3413747,73.6586253,9.331552901,65,55,45,21.2534705,13.75,2014,Tamil Nadu,746.7
,02-05-2014,Barley,Loamy,6.5,23.1273387,76.8726613,11.28739858,70,60,50,57.42082435,60,2014,Tamil Nadu,746.7
,03-05-2014,Barley,Peaty,5.5,22.9826347,77.0173653,14.67213045,55,45,35,39.86568772,22.5,2014,Tamil Nadu,746.7
,04-05-2014,Barley,Loamy,6.5,25.00662844,74.99337156,6.290438991,70,60,50,47.97186908,60,2014,Tamil Nadu,746.7
,05-05-2014,Barley,Loamy,6.5,24.44732201,75.55267799,11.50249477,70,60,50,45.58400794,60,2014,Tamil Nadu,746.7
,06-05-2014,Barley,Saline,8,25.3887996,74.6112004,10.29339494,65,55,45,26.09244881,13.75,2014,Tamil Nadu,746.7
,07-05-2014,Barley,Clay,6.25,29.181509,70.818491,6.72357522,60,50,40,5.366918763,43.75,2014,Tamil Nadu,746.7
,08-05-2014,Barley,Clay,6.25,25.64308725,74.35691275,15.24572774,60,50,40,29.57427642,43.75,2014,Tamil Nadu,746.7
,09-05-2014,Barley,Loamy,6.5,21.05664034,78.94335966,10.45572925,70,60,50,80.57234879,60,2014,Tamil Nadu,746.7
,10-05-2014,Barley,Peaty,5.5,24.76148765,75.23851235,10.11287897,55,45,35,27.51428801,22.5,2014,Tamil Nadu,746.7
,11-05-2014,Barley,Clay,6.25,21.69569619,78.30430381,5.508227064,60,50,40,66.74724903,43.75,2014,Tamil Nadu,746.7
,12-05-2014,Barley,Saline,8,25.22979698,74.77020302,10.65893548,65,55,45,26.61048089,13.75,2014,Tamil Nadu,746.7
,13-05-2014,Barley,Saline,8,24.92950517,75.07049483,14.72023644,65,55,45,30.9164496,13.75,2014,Tamil Nadu,746.7
,14-05-2014,Barley,Loamy,6.5,37.74504854,62.25495146,7.081777679,70,60,50,0,60,2014,Tamil Nadu,746.7
,15-05-2014,Barley,Clay,6.25,26.84665511,73.15334489,8.725833352,60,50,40,23.01003024,43.75,2014,Tamil Nadu,746.7
,16-05-2014,Barley,Clay,6.25,19.711989,80,14.9911985,60,50,40,71.31014059,43.75,2014,Tamil Nadu,746.7
,17-05-2014,Barley,Saline,8,28.34904049,71.65095951,10.25316458,65,55,45,8.247013691,13.75,2014,Tamil Nadu,746.7
,18-05-2014,Barley,Clay,6.25,23.87688538,76.12311462,6.312842657,60,50,40,48.52695004,43.75,2014,Tamil Nadu,746.7
,19-05-2014,Barley,Sandy,6.75,36.53076492,63.46923508,11.47319813,50,40,30,0,35,2014,Tamil Nadu,746.7
,20-05-2014,Barley,Sandy,6.75,21.95827353,78.04172647,8.866229919,50,40,30,42.4062152,35,2014,Tamil Nadu,746.7
,21-05-2014,Barley,Peaty,5.5,33.52051039,66.47948961,6.170992238,55,45,35,0,22.5,2014,Tamil Nadu,746.7
,22-05-2014,Barley,Clay,6.25,27.19151852,72.80848148,6.169432671,60,50,40,21.26826701,43.75,2014,Tamil Nadu,746.7
,23-05-2014,Barley,Sandy,6.75,25.08085899,74.91914101,10.41205744,50,40,30,36.18234982,35,2014,Tamil Nadu,746.7
,24-05-2014,Barley,Saline,8,30.03128887,69.96871113,9.315915911,65,55,45,0,13.75,2014,Tamil Nadu,746.7
,25-05-2014,Barley,Clay,6.25,29.78966028,70.21033972,8.772227635,60,50,40,1.628680092,43.75,2014,Tamil Nadu,746.7
,26-05-2014,Barley,Saline,8,22.26047348,77.73952652,15.81883573,65,55,45,50.44986567,13.75,2014,Tamil Nadu,746.7
,27-05-2014,Barley,Saline,8,24.15090157,75.84909843,12.79745156,65,55,45,34.52194947,13.75,2014,Tamil Nadu,746.7
,28-05-2014,Barley,Loamy,6.5,27.13907198,72.86092802,12.99914441,70,60,50,22.767305,60,2014,Tamil Nadu,746.7
,29-05-2014,Barley,Clay,6.25,34.26705399,65.73294601,7.519966963,60,50,40,0,43.75,2014,Tamil Nadu,746.7
,30-05-2014,Barley,Clay,6.25,21.38434351,78.61565649,9.384147942,60,50,40,68.25294498,43.75,2014,Tamil Nadu,746.7
,31-05-2014,Barley,Peaty,5.5,33.84084647,66.15915353,9.471857512,55,45,35,0,22.5,2014,Tamil Nadu,746.7
,01-06-2014,Barley,Loamy,6.5,40.18078631,59.81921369,3.96213425,70,60,50,0,60,2014,Tamil Nadu,746.7
,02-06-2014,Barley,Sandy,6.75,39.00880282,60.99119718,8.136585734,50,40,30,0,35,2014,Tamil Nadu,746.7
,03-06-2014,Barley,Sandy,6.75,41.17104412,58.82895588,10.09447469,50,40,30,0,35,2014,Tamil Nadu,746.7
,04-06-2014,Barley,Peaty,5.5,33.37350538,66.62649462,11.25627988,55,45,35,0,22.5,2014,Tamil Nadu,746.7
,05-06-2014,Barley,Peaty,5.5,41.59308963,58.40691037,13.00468684,55,45,35,0,22.5,2014,Tamil Nadu,746.7
,06-06-2014,Barley,Peaty,5.5,35.60060141,64.39939859,11.07921693,55,45,35,0,22.5,2014,Tamil Nadu,746.7
,07-06-2014,Barley,Sandy,6.75,27.23193785,72.76806215,11.08528598,50,40,30,15.79799339,35,2014,Tamil Nadu,746.7
,08-06-2014,Barley,Peaty,5.5,29.46852282,70.53147718,12.89963275,55,45,35,2.516441535,22.5,2014,Tamil Nadu,746.7
,09-06-2014,Barley,Peaty,5.5,40.19739407,59.80260593,15.73818055,55,45,35,0,22.5,2014,Tamil Nadu,746.7
,10-06-2014,Barley,Saline,8,43.85352825,56.14647175,11.21741015,65,55,45,0,13.75,2014,Tamil Nadu,746.7
,11-06-2014,Barley,Sandy,6.75,37.27699085,62.72300915,12.35190295,50,40,30,0,35,2014,Tamil Nadu,746.7
,12-06-2014,Barley,Saline,8,31.5392457,68.4607543,11.93767126,65,55,45,0,13.75,2014,Tamil Nadu,746.7
,13-06-2014,Barley,Saline,8,35.00360453,64.99639547,8.196620342,65,55,45,0,13.75,2014,Tamil Nadu,746.7
,14-06-2014,Barley,Loamy,6.5,37.43154997,62.56845003,10.28283788,70,60,50,0,60,2014,Tamil Nadu,746.7
,15-06-2014,Barley,Peaty,5.5,29.42687299,70.57312701,9.144309052,55,45,35,2.598641761,22.5,2014,Tamil Nadu,746.7
,16-06-2014,Barley,Loamy,6.5,37.64381264,62.35618736,10.02572801,70,60,50,0,60,2014,Tamil Nadu,746.7
,17-06-2014,Barley,Loamy,6.5,30.21877109,69.78122891,12.23608217,70,60,50,0,60,2014,Tamil Nadu,746.7
,18-06-2014,Barley,Loamy,6.5,42.49048817,57.50951183,10.9058827,70,60,50,0,60,2014,Tamil Nadu,746.7
,19-06-2014,Barley,Clay,6.25,38.05543676,61.94456324,13.40654887,60,50,40,0,43.75,2014,Tamil Nadu,746.7
,20-06-2014,Barley,Clay,6.25,32.7250029,67.2749971,6.208692768,60,50,40,0,43.75,2014,Tamil Nadu,746.7
,21-06-2014,Barley,Sandy,6.75,43.1750756,56.8249244,14.10092394,50,40,30,0,35,2014,Tamil Nadu,746.7
,22-06-2014,Barley,Peaty,5.5,37.80270213,62.19729787,11.93223122,55,45,35,0,22.5,2014,Tamil Nadu,746.7
,23-06-2014,Barley,Loamy,6.5,39.28487768,60.71512232,10.48312639,70,60,50,0,60,2014,Tamil Nadu,746.7
,24-06-2014,Barley,Loamy,6.5,32.11869035,67.88130965,15.4946652,70,60,50,0,60,2014,Tamil Nadu,746.7
,25-06-2014,Barley,Clay,6.25,39.46143505,60.53856495,7.770313182,60,50,40,0,43.75,2014,Tamil Nadu,746.7
,26-06-2014,Barley,Saline,8,35.4146028,64.5853972,8.785060195,65,55,45,0,13.75,2014,Tamil Nadu,746.7
,27-06-2014,Barley,Sandy,6.75,39.50864349,60.49135651,8.680900147,50,40,30,0,35,2014,Tamil Nadu,746.7
,28-06-2014,Barley,Saline,8,35.60663641,64.39336359,3.968099578,65,55,45,0,13.75,2014,Tamil Nadu,746.7
,29-06-2014,Barley,Saline,8,34.62536722,65.37463278,12.5267447,65,55,45,0,13.75,2014,Tamil Nadu,746.7
,30-06-2014,Barley,Saline,8,35.64871931,64.35128069,9.091344269,65,55,45,0,13.75,2014,Tamil Nadu,746.7
,01-07-2014,Barley,Saline,8,30.14309361,69.85690639,11.47671839,65,55,45,0,13.75,2014,Tamil Nadu,746.7
,02-07-2014,Barley,Loamy,6.5,31.26536153,68.73463847,7.878366762,70,60,50,0,60,2014,Tamil Nadu,746.7
,03-07-2014,Barley,Saline,8,34.53062723,65.46937277,10.76980443,65,55,45,0,13.75,2014,Tamil Nadu,746.7
,04-07-2014,Barley,Clay,6.25,40.54218804,59.45781196,15.762864,60,50,40,0,43.75,2014,Tamil Nadu,746.7
,05-07-2014,Barley,Loamy,6.5,38.24400271,61.75599729,12.4733554,70,60,50,0,60,2014,Tamil Nadu,746.7
,06-07-2014,Barley,Clay,6.25,37.13023244,62.86976756,9.898110322,60,50,40,0,43.75,2014,Tamil Nadu,746.7
,07-07-2014,Barley,Peaty,5.5,34.3673371,65.6326629,15.21762669,55,45,35,0,22.5,2014,Tamil Nadu,746.7
,08-07-2014,Barley,Sandy,6.75,23.32988571,76.67011429,8.459166093,50,40,30,41.6420106,35,2014,Tamil Nadu,746.7
,09-07-2014,Barley,Loamy,6.5,34.82938621,65.17061379,6.26654065,70,60,50,0,60,2014,Tamil Nadu,746.7
,10-07-2014,Barley,Clay,6.25,28.39222107,71.60777893,-1.089865717,60,50,40,11.01960207,43.75,2014,Tamil Nadu,746.7
,11-07-2014,Barley,Saline,8,31.77319085,68.22680915,10.29023174,65,55,45,0,13.75,2014,Tamil Nadu,746.7
,12-07-2014,Barley,Peaty,5.5,28.17010147,71.82989853,6.475835256,55,45,35,9.106634641,22.5,2014,Tamil Nadu,746.7
,13-07-2014,Barley,Saline,8,31.44244515,68.55755485,11.05850093,65,55,45,0,13.75,2014,Tamil Nadu,746.7
,14-07-2014,Barley,Peaty,5.5,42.58067948,57.41932052,7.197537379,55,45,35,0,22.5,2014,Tamil Nadu,746.7
,15-07-2014,Barley,Clay,6.25,33.40987085,66.59012915,7.127895891,60,50,40,0,43.75,2014,Tamil Nadu,746.7
,16-07-2014,Barley,Clay,6.25,36.51313816,63.48686184,12.05970324,60,50,40,0,43.75,2014,Tamil Nadu,746.7
,17-07-2014,Barley,Loamy,6.5,41.50404015,58.49595985,9.754316861,70,60,50,0,60,2014,Tamil Nadu,746.7
,18-07-2014,Barley,Clay,6.25,34.02910131,65.97089869,9.413396459,60,50,40,0,43.75,2014,Tamil Nadu,746.7
,19-07-2014,Barley,Loamy,6.5,47.26184956,52.73815044,6.569980771,70,60,50,0,60,2014,Tamil Nadu,746.7
,20-07-2014,Barley,Saline,8,31.79136428,68.20863572,13.78556961,65,55,45,0,13.75,2014,Tamil Nadu,746.7
,21-07-2014,Barley,Sandy,6.75,37.47388722,62.52611278,11.85728943,50,40,30,0,35,2014,Tamil Nadu,746.7
,22-07-2014,Barley,Sandy,6.75,39.51038512,60.48961488,14.20636525,50,40,30,0,35,2014,Tamil Nadu,746.7
,23-07-2014,Barley,Clay,6.25,43.32801607,56.67198393,12.39240308,60,50,40,0,43.75,2014,Tamil Nadu,746.7
,24-07-2014,Barley,Loamy,6.5,34.0824422,65.9175578,6.809936501,70,60,50,0,60,2014,Tamil Nadu,746.7
,25-07-2014,Barley,Saline,8,38.11265672,61.88734328,13.30827613,65,55,45,0,13.75,2014,Tamil Nadu,746.7
,26-07-2014,Barley,Loamy,6.5,27.0707718,72.9292282,7.363278857,70,60,50,22.08320155,60,2014,Tamil Nadu,746.7
